delivery_id,order_id,warehouse_id,driver_id,origin_city,destination_city,pickup_date,promised_delivery_date,actual_delivery_date,promised_days,actual_days,delay_days,is_delayed,delay_reason,delivery_cost_tl,delivery_status,customer_satisfaction,priority,weight_kg
DEL-000001,ORD-000001,WH-03,DRV-100,İzmir,İstanbul,2024-10-16,2024-10-19,2024-10-19,3,3,0,False,,1.4,Zamanında Teslim,4.6,Standard,0.62
DEL-000002,ORD-000002,WH-07,DRV-094,Konya,Gaziantep,2024-11-24,2024-11-25,2024-11-25,1,1,0,False,,20.74,Zamanında Teslim,4.1,Express,2.37
DEL-000003,ORD-000003,WH-01,DRV-019,İstanbul,İstanbul,2023-01-31,2023-02-03,2023-02-03,3,3,0,False,,89.48,Zamanında Teslim,4.8,Standard,39.77
DEL-000004,ORD-000004,WH-08,DRV-076,Kocaeli,Gaziantep,2023-07-23,2023-07-26,2023-07-26,3,3,0,False,,6.61,Zamanında Teslim,4.3,Standard,1.89
DEL-000005,ORD-000005,WH-03,DRV-027,İzmir,Trabzon,2023-10-12,2023-10-19,2023-10-23,7,11,4,True,Hava Koşulları,9.17,Gecikmeli Teslim,3.0,Economy,2.91
DEL-000006,ORD-000006,WH-06,DRV-110,Adana,İstanbul,2023-12-16,2023-12-23,2023-12-23,7,7,0,False,,58.01,Zamanında Teslim,4.4,Economy,36.83
DEL-000007,ORD-000007,WH-05,DRV-109,Antalya,Ankara,2023-04-06,2023-04-13,2023-04-13,7,7,0,False,,2.29,Zamanında Teslim,4.7,Economy,1.31
DEL-000008,ORD-000008,WH-05,DRV-049,Antalya,Bursa,2024-04-16,2024-04-17,2024-04-17,1,1,0,False,,25.09,Zamanında Teslim,4.2,Express,4.46
DEL-000009,ORD-000009,WH-04,DRV-039,Bursa,İstanbul,2024-08-15,2024-08-16,2024-08-16,1,1,0,False,,5.96,Zamanında Teslim,4.4,Express,1.06
DEL-000010,ORD-000010,WH-08,DRV-078,Kocaeli,Erzurum,2023-03-23,2023-03-26,2023-03-26,3,3,0,False,,4.77,Zamanında Teslim,4.6,Standard,1.06
DEL-000011,ORD-000011,WH-02,DRV-104,Ankara,Ankara,2023-06-17,2023-06-20,2023-06-20,3,3,0,False,,100.5,Zamanında Teslim,4.5,Standard,40.2
DEL-000012,ORD-000012,WH-07,DRV-008,Konya,İstanbul,2024-10-13,2024-10-14,2024-10-15,1,2,1,True,Alıcı Mevcut Değil,1179.06,Gecikmeli Teslim,2.7,Express,209.61
DEL-000013,ORD-000013,WH-01,DRV-026,İstanbul,Konya,2024-10-18,2024-10-21,2024-10-21,3,3,0,False,,175.0,Zamanında Teslim,3.8,Standard,70.0
DEL-000014,ORD-000014,WH-04,DRV-009,Bursa,Trabzon,2023-02-02,2023-02-05,2023-02-05,3,3,0,False,,25.83,Zamanında Teslim,3.6,Standard,5.74
DEL-000015,ORD-000015,WH-08,DRV-021,Kocaeli,İstanbul,2023-11-20,2023-11-23,2023-11-23,3,3,0,False,,21.55,Zamanında Teslim,4.9,Standard,9.58
