order_id,order_date,customer_id,origin_city,destination_city,product_category,quantity,weight_kg,order_value_tl,priority,is_fragile,warehouse_id
ORD-000001,2024-10-16,CUS-00840,İzmir,İstanbul,Kozmetik,1,0.62,345.51,Standard,False,WH-03
ORD-000002,2024-11-23,CUS-00261,Konya,Gaziantep,Oyuncak,1,2.37,333.72,Express,False,WH-07
ORD-000003,2023-01-31,CUS-04598,İstanbul,İstanbul,Mobilya,1,39.77,2432.38,Standard,True,WH-01
ORD-000004,2023-07-23,CUS-04828,Kocaeli,Gaziantep,Oyuncak,1,1.89,146.07,Standard,False,WH-08
ORD-000005,2023-10-12,CUS-03463,İzmir,Trabzon,Elektronik,1,2.91,2166.61,Economy,True,WH-03
ORD-000006,2023-12-15,CUS-00838,Adana,İstanbul,Mobilya,1,36.83,1811.39,Economy,True,WH-06
ORD-000007,2023-04-05,CUS-00356,Antalya,Ankara,Kitap/Kırtasiye,1,1.31,137.93,Economy,False,WH-05
ORD-000008,2024-04-15,CUS-02963,Antalya,Bursa,Spor Malzemesi,1,4.46,822.18,Express,False,WH-05
ORD-000009,2024-08-14,CUS-02371,Bursa,İstanbul,Tekstil,1,1.06,556.59,Express,False,WH-04
ORD-000010,2023-03-23,CUS-02989,Kocaeli,Erzurum,Tekstil,1,1.06,658.38,Standard,False,WH-08
ORD-000011,2023-06-16,CUS-04991,Ankara,Ankara,Mobilya,1,40.2,2796.13,Standard,True,WH-02
ORD-000012,2024-10-12,CUS-02212,Konya,İstanbul,Mobilya,4,209.61,7781.64,Express,True,WH-07
ORD-000013,2024-10-17,CUS-01877,İstanbul,Konya,Mobilya,1,70.0,3635.55,Standard,True,WH-01
ORD-000014,2023-02-02,CUS-04647,Bursa,Trabzon,Spor Malzemesi,1,5.74,834.27,Standard,False,WH-04
ORD-000015,2023-11-19,CUS-01171,Kocaeli,İstanbul,Otomotiv Parça,1,9.58,906.26,Standard,False,WH-08
ORD-000016,2023-09-29,CUS-04781,Konya,İstanbul,Oyuncak,1,1.63,354.0,Economy,False,WH-07
ORD-000017,2024-02-13,CUS-00386,Ankara,Ankara,Gıda,1,6.19,258.4,Economy,False,WH-02
ORD-000018,2023-04-23,CUS-04886,Konya,İstanbul,Gıda,3,20.75,864.69,Economy,False,WH-07
ORD-000019,2023-03-07,CUS-04533,Antalya,Ankara,Ev & Yaşam,1,7.26,794.26,Economy,True,WH-05
ORD-000020,2023-01-12,CUS-02787,Antalya,Konya,Tekstil,2,2.0,830.43,Economy,False,WH-05
ORD-000021,2023-04-25,CUS-04101,Antalya,Ankara,Gıda,3,16.76,956.18,Standard,False,WH-05
ORD-000022,2023-07-02,CUS-04159,Antalya,Bursa,Tekstil,1,0.93,315.43,Economy,False,WH-05
ORD-000023,2024-09-15,CUS-04907,İstanbul,İstanbul,Kitap/Kırtasiye,2,3.5,257.79,Economy,False,WH-01
ORD-000024,2023-11-28,CUS-01962,Antalya,İzmir,Tekstil,1,1.29,377.42,Economy,False,WH-05
ORD-000025,2023-03-01,CUS-03982,Ankara,İstanbul,Ev & Yaşam,2,16.89,1409.91,Economy,True,WH-02
ORD-000026,2023-03-12,CUS-03894,İzmir,Kocaeli,Oyuncak,1,0.86,337.53,Economy,False,WH-03
ORD-000027,2024-07-16,CUS-01736,Konya,İstanbul,Oyuncak,1,1.29,352.97,Economy,False,WH-07
ORD-000028,2024-07-06,CUS-03060,Konya,Kayseri,Mobilya,1,43.02,3049.98,Standard,True,WH-07
ORD-000029,2024-03-24,CUS-00525,Bursa,Eskişehir,Otomotiv Parça,1,10.11,1778.89,Express,False,WH-04
ORD-000030,2023-12-13,CUS-00059,Bursa,İstanbul,Oyuncak,1,1.51,244.88,Standard,False,WH-04
ORD-000031,2023-03-14,CUS-02707,İstanbul,Konya,Elektronik,5,13.75,22567.07,Express,True,WH-01
ORD-000032,2023-03-14,CUS-04418,Bursa,Bursa,Kozmetik,4,2.86,1444.25,Standard,False,WH-04
ORD-000033,2023-05-16,CUS-03875,Bursa,Gaziantep,Ev & Yaşam,4,33.13,2714.11,Standard,True,WH-04
ORD-000034,2024-02-21,CUS-03470,Adana,İstanbul,Tekstil,4,4.13,1652.55,Standard,False,WH-06
ORD-000035,2024-02-25,CUS-00497,Ankara,İzmir,Elektronik,1,3.14,3244.54,Standard,True,WH-02
ORD-000036,2024-02-17,CUS-04394,Bursa,Gaziantep,Tekstil,3,3.6,1270.83,Express,False,WH-04
ORD-000037,2024-04-04,CUS-00618,Bursa,İstanbul,Gıda,1,7.37,231.93,Standard,False,WH-04
ORD-000038,2024-03-29,CUS-00765,İstanbul,Trabzon,Oyuncak,1,1.74,308.28,Express,False,WH-01
ORD-000039,2023-08-31,CUS-00481,Konya,İstanbul,Otomotiv Parça,1,9.74,2026.48,Standard,False,WH-07
ORD-000040,2023-06-18,CUS-02337,Kocaeli,Ankara,Spor Malzemesi,7,21.57,5562.88,Express,False,WH-08
