date,warehouse_id,city,capacity_limit,capacity_used_pct,daily_orders_processed,efficiency_score,error_rate_pct,staff_count,avg_processing_min,vehicles_in,vehicles_out,month,weekday,is_weekend
2023-01-01,WH-01,İstanbul,50000,46.32,36,0.8828,0.8527,25,8.82,5,7,1,6,True
2023-01-01,WH-02,Ankara,30000,66.26,21,0.8405,1.8512,14,9.73,3,1,1,6,True
2023-01-01,WH-03,İzmir,25000,62.65,18,0.7923,1.7644,11,10.53,5,4,1,6,True
2023-01-01,WH-04,Bursa,20000,60.45,13,0.8053,1.8239,9,10.22,4,5,1,6,True
2023-01-01,WH-05,Antalya,18000,80.95,10,0.7597,2.3068,9,10.89,1,1,1,6,True
2023-01-01,WH-06,Adana,15000,62.29,10,0.772,1.8264,6,10.65,5,3,1,6,True
2023-01-01,WH-07,Konya,12000,61.63,11,0.7546,2.0768,5,11.0,0,3,1,6,True
2023-01-01,WH-08,Kocaeli,22000,60.6,17,0.903,0.7814,12,9.03,3,6,1,6,True
2023-01-02,WH-01,İstanbul,50000,64.93,82,0.8903,0.3277,25,9.64,4,5,1,0,False
2023-01-02,WH-02,Ankara,30000,51.03,52,0.7785,1.7824,14,10.72,4,5,1,0,False
2023-01-02,WH-03,İzmir,25000,69.41,39,0.9082,0.7461,10,9.01,1,3,1,0,False
2023-01-02,WH-04,Bursa,20000,67.0,33,0.871,0.4386,10,8.88,2,2,1,0,False
2023-01-02,WH-05,Antalya,18000,48.02,33,0.8569,1.0092,7,9.79,5,3,1,0,False
2023-01-02,WH-06,Adana,15000,68.63,26,0.7879,1.7151,6,9.57,6,5,1,0,False
2023-01-02,WH-07,Konya,12000,60.91,19,0.7397,2.1385,7,10.44,0,3,1,0,False
2023-01-02,WH-08,Kocaeli,22000,61.52,35,0.8179,2.9126,10,9.97,5,4,1,0,False
2023-01-03,WH-01,İstanbul,50000,55.08,92,0.8963,0.1,24,9.21,6,9,1,1,False
2023-01-03,WH-02,Ankara,30000,76.64,45,0.8239,1.6697,14,9.19,2,7,1,1,False
2023-01-03,WH-03,İzmir,25000,57.52,34,0.8292,1.9453,12,9.01,6,2,1,1,False
2023-01-03,WH-04,Bursa,20000,64.76,30,0.918,0.6603,10,8.22,2,6,1,1,False
2023-01-03,WH-05,Antalya,18000,76.04,30,0.7855,2.0239,9,10.22,3,6,1,1,False
2023-01-03,WH-06,Adana,15000,58.61,26,0.7338,2.1315,6,9.45,4,5,1,1,False
2023-01-03,WH-07,Konya,12000,47.96,17,0.7304,2.5136,6,11.02,3,4,1,1,False
2023-01-03,WH-08,Kocaeli,22000,66.69,34,0.9447,0.2659,10,8.04,3,6,1,1,False
2023-01-04,WH-01,İstanbul,50000,67.12,60,0.904,1.9284,24,8.72,8,4,1,2,False
2023-01-04,WH-02,Ankara,30000,78.7,49,0.7829,2.0689,16,10.09,3,7,1,2,False
2023-01-04,WH-03,İzmir,25000,71.28,33,0.8096,2.1181,13,9.63,1,2,1,2,False
2023-01-04,WH-04,Bursa,20000,70.05,34,0.8716,0.7024,10,9.3,2,5,1,2,False
2023-01-04,WH-05,Antalya,18000,62.18,24,0.8073,0.9793,7,9.27,3,2,1,2,False
2023-01-04,WH-06,Adana,15000,67.29,20,0.7448,2.6804,5,11.0,6,4,1,2,False
2023-01-04,WH-07,Konya,12000,64.16,17,0.7605,0.5985,5,10.49,3,1,1,2,False
2023-01-04,WH-08,Kocaeli,22000,53.58,32,0.9202,0.1,10,9.27,3,4,1,2,False
2023-01-05,WH-01,İstanbul,50000,58.06,73,0.8817,0.5751,25,9.33,3,9,1,3,False
2023-01-05,WH-02,Ankara,30000,74.43,49,0.8084,1.2806,14,8.48,2,8,1,3,False
2023-01-05,WH-03,İzmir,25000,62.36,40,0.8615,0.6601,13,9.18,2,4,1,3,False
2023-01-05,WH-04,Bursa,20000,60.94,34,0.844,0.4704,7,9.38,5,3,1,3,False
2023-01-05,WH-05,Antalya,18000,64.23,28,0.7813,1.5486,9,11.13,4,4,1,3,False
2023-01-05,WH-06,Adana,15000,73.76,29,0.6914,2.9945,8,11.52,6,4,1,3,False
2023-01-05,WH-07,Konya,12000,67.88,20,0.7396,2.2102,5,9.9,6,2,1,3,False
2023-01-05,WH-08,Kocaeli,22000,72.34,28,0.8292,0.6014,9,9.41,5,1,1,3,False
2023-01-06,WH-01,İstanbul,50000,63.84,99,0.8271,2.1243,25,9.5,9,7,1,4,False
2023-01-06,WH-02,Ankara,30000,65.09,54,0.7985,1.3388,13,9.78,5,4,1,4,False
2023-01-06,WH-03,İzmir,25000,72.22,47,0.8447,1.1597,10,9.67,7,8,1,4,False
2023-01-06,WH-04,Bursa,20000,71.65,29,0.8426,1.1269,10,9.32,6,6,1,4,False
